ID,Income
4574,11028
8597,60970
6314,9380
7898,10000
7781,31000
4983,32726
4681,72200
5671,65100
6506,65000
8968,124600
6228,22820
9326,67000
5234,36752
6282,47840
5026,55060
9491,85980
6444,243000
8441,119000
8878,170000
5801,185200
4882,29100
4054,7596
4037,23928
4127,25000
3985,9452
4093,9200
4136,72000
4045,30000
4355,45000
4231,45000
4308,102000
3992,61200
4048,0
4198,17000
4077,1080
4044,7200
3893,325000
4092,15828
4016,41610
4454,81500
4131,83000
4290,6200
2935,24788
3135,30000
2994,2200
3145,56000
3172,37000
3101,0
2922,178438
3136,57986
649,50433
1903,28740
1634,79912
2491,224468
1536,49970
2738,59200
1484,80000
1937,7050
1611,63250
2897,33119
8951,0
8879,25229
8942,42000
8354,8600
4578,69000
5180,100500
5937,71000
5345,54909
5638,41160
4822,216300
9518,125000
6041,25692
8839,29600
6392,217100
5748,8916
9381,33300
6714,39962
4247,40000
4039,62500
3989,111000
4137,88000
8235,53800
6758,110000
2517,67800
1123,88800
5097,107038
4644,29600
8252,15050
4749,899000
7520,68093
5804,28276
9193,117100
5965,9492
7694,173520
6801,0
8299,163750
9515,69600
9043,55000
8277,202000
6018,55600
7823,75521
9037,53144
7712,10549
8269,23816
5209,186000
4624,14400
7036,33262
8092,65000
4543,37000
8533,109416
7321,73392
8013,59500
2189,65000
1941,37180
2342,68000
2232,51820
1659,60150
1989,100000
96,7249
889,41742
6008,45786
5452,379500
8705,41000
5910,80000
7885,160000
8310,158600
8022,92000
5506,167020
6839,87100
5187,4008
5697,21620
8293,40726
6567,20000
9197,33300
6589,12000
8600,345504
6347,245500
7627,47019
7487,75000
8925,119200
5436,22956
5207,78975
5032,90292
4690,128611
6194,8000
5441,3600
9258,57124
7658,54000
5717,82000
9320,50000
4942,23220
5702,29400
6580,127060
6169,75000
5307,31200
5126,31700
5299,82000
7899,54812
2242,10800
1594,7613
1550,100
2442,9252
1787,0
1686,7200
5892,86500
5160,76505
6093,106002
6716,20700
5915,30268
5852,176480
7264,92000
5199,125905
6396,124050
7189,106200
8679,116600
4628,130800
9341,150100
4790,160000
2401,24276
1585,120100
2082,22000
3455,18000
3494,3893
70,70000
84,23412
137,10001
6517,107648
5579,34100
8057,55000
4796,147500
6529,112000
7542,77840
4877,34513
6438,45000
7341,36200
7278,148000
8476,110296
9137,125800
7117,430000
7892,29000
5977,32656
4868,53184
7739,32000
7409,60014
5699,95238
7607,75144
5310,108000
9431,55500
1336,50000
866,80801
335,164000
2331,140529
1595,189050
1555,121002
52,27400
8486,55226
8413,50400
4544,34956
647,40254
1202,150800
3518,31704
3463,18000
3862,0
6369,53000
6420,29000
5185,56000
6749,6250
4739,38000
4639,19200
8672,62000
6744,30400
6536,35000
6153,47256
8287,48200
4860,71228
8990,50000
4788,49456
8625,132000
8403,203918
9462,27692
965,70923
1210,137020
874,99045
6532,61880
7946,90620
9354,36000
9075,224040
1832,97600
1393,105227
2506,178200
1009,44056
1020,76830
6205,179100
6796,149595
8064,23000
6999,36900
6362,445718
9153,110006
5346,17224
9275,183000
4568,195000
9566,17178
2872,18000
2827,63400
6786,50800
7202,102412
9363,111300
5896,166100
2959,52280
3257,245020
3422,47050
5960,660
5483,5000
8531,25168
8488,76300
4755,38830
2869,27400
5353,80942
5084,19850
7998,42000
8961,58408
1094,6987
4391,12216
3877,20004
3927,44632
3984,58180
1007,309350
2198,48050
2551,20000
1562,53812
6897,280000
6428,13300
6178,64700
6472,296600
7546,122000
8027,167930
7549,214828
7357,439000
9604,2125100
4944,1275000
2923,72000
2964,121016
3417,124126
2580,68010
1261,16000
1220,106562
911,40600
738,194020
495,168000
846,114626
228,80000
658,59850
1021,77270
944,213103
5060,130600
6664,48000
9050,3000
8802,20181
7865,97000
9012,49867
807,38000
698,243500
659,72417
726,96200
635,88278
1310,68000
1088,72800
682,62120
703,123084
1158,210002
174,67500
58,55000
2045,150807
2000,89240
2665,57202
1599,237000
2023,55000
2226,61000
1779,123020
1764,10789
2364,136980
2269,73305
2900,36000
3236,96000
2940,52000
3303,21888
3050,50000
2325,119255
1489,28480
1483,240100
2373,176100
5338,100050
9558,17500
2434,30600
4059,36650
4446,48450
4057,53692
4135,69967
3375,71016
2909,121450
3242,53592
3976,75000
9117,58200
7323,195000
7097,49800
4619,32406
7250,36545
5093,20000
1467,49425
1824,9000
1939,113920
1386,62500
2289,16436
2621,85000
2694,81950
1397,54220
1486,111000
1430,47310
2237,116100
2047,263000
2518,306000
2056,47050
2065,301100
1792,240300
1860,65847
2350,6600
2569,88400
2119,776200
383,32579
1232,75984
753,153050
865,55000
1746,138800
2800,97000
3285,121000
3333,330020
666,47000
1319,191000
1284,130218
744,130150
1410,52708
2292,61989
271,45700
825,350658
1044,10050
514,400100
632,152620
185,43910
987,43854
10,114170
1161,167900
1038,147010
519,190100
915,27000
1142,10000
8233,78454
9003,165100
8456,43400
633,260500
211,100100
690,185025
1371,28800
1966,116500
2496,33800
1374,115050
1879,64100
2029,43500
7005,52125
9495,114900
4677,41925
8180,145430
5712,96600
9226,47500
5491,63100
8171,242000
769,86000
954,76050
809,57700
805,105780
538,108200
47,20340
1090,120200
457,89000
465,57302
886,101300
1853,28800
2745,27000
2426,167100
2007,23862
6126,54895
8574,40248
6062,206218
5374,130200
2905,70600
3068,213020
